# p     P_infinity
0.25  0.889125151924
0.11  0.0435338768867
0.18  0.207406976768
0.19  0.325922496647
0.06  0.0297494552896
0.28  0.951726656033
0.16  0.113666510087
0.29  0.961786191839
0.13  0.0566580905009
0.24  0.854375739117
0.08  0.032383722923
0.12  0.0489732042297
0.21  0.583164367536
0.22  0.710745066556
0.09  0.0357355426884
0.3  0.96928801456
0.15  0.0851300464156
0.2  0.457735684972
0.27  0.936989381428
0.23  0.804050712671
0.14  0.0716259059565
0.1  0.0388461169006
0.05  0.0288652301692
0.17  0.154259919172
0.26  0.918445109116
0.07  0.0308958161836
