# p     P_infinity
0.25  0.9137935472
0.11  0.58751246781
0.18  0.757608234566
0.19  0.784238458424
0.06  0.565498066378
0.28  0.946781956363
0.16  0.704048206541
0.29  0.957416598726
0.13  0.627503700205
0.24  0.889364812336
0.08  0.550482369852
0.12  0.606982726832
0.21  0.839473469176
0.22  0.857313573575
0.09  0.559872202242
0.3  0.965506440571
0.15  0.676040656313
0.2  0.811373580421
0.27  0.936365440913
0.23  0.87417669284
0.14  0.651062223141
0.1  0.565297034077
0.05  0.573718028083
0.17  0.735700070106
0.26  0.916273026172
0.07  0.547156366411
