# p     P_infinity
0.25  0.889218234992
0.11  0.0448256375045
0.18  0.224170921018
0.19  0.329378126757
0.06  0.0295626897589
0.28  0.950826359341
0.16  0.115509505351
0.29  0.962154953088
0.13  0.0573129980289
0.24  0.854999540678
0.08  0.0338994050986
0.12  0.0492790515143
0.21  0.60323770366
0.22  0.720928903959
0.09  0.035462635962
0.3  0.969304850272
0.15  0.0856819019582
0.2  0.446364596519
0.27  0.936505160038
0.23  0.800043579529
0.14  0.0681252178347
0.1  0.0401562378756
0.05  0.0291768407623
0.17  0.156438014782
0.26  0.917697003645
0.07  0.0301315044192
