# p     P_infinity
0.25  0.890909631252
0.11  0.0837327138088
0.18  0.306436264581
0.19  0.411404406076
0.06  0.0582156691886
0.28  0.951592514981
0.16  0.180964017571
0.29  0.96123918188
0.13  0.108811742744
0.24  0.851684350417
0.08  0.0632044381286
0.12  0.0938905610109
0.21  0.618910131777
0.22  0.728372763359
0.09  0.0681682744757
0.3  0.971468285737
0.15  0.147141690474
0.2  0.51340288391
0.27  0.934587274929
0.23  0.796998027086
0.14  0.129006023816
0.1  0.0727859221286
0.05  0.0580301222232
0.17  0.244166292799
0.26  0.916008522401
0.07  0.0588077231317
