# p     P_infinity
0.05  0.14335792657
0.06  0.143463478169
0.07  0.145865292406
0.08  0.152437005392
0.09  0.160750594205
0.1  0.171965741832
0.11  0.188498754981
0.12  0.209298909897
0.13  0.22989493241
0.14  0.263684974518
0.15  0.302890227815
0.16  0.348633348383
0.17  0.404693582075
0.18  0.475436261001
0.19  0.542369837781
0.2  0.61506745636
0.21  0.687945575027
0.22  0.745943278467
0.23  0.802757240546
0.24  0.850642004952
0.25  0.886143713665
0.26  0.913201316845
0.27  0.934945284192
0.28  0.948088078272
0.29  0.960361544407
0.3  0.969765577586
