# p     P_infinity
0.25  0.892647865035
0.11  0.0445706314357
0.18  0.216483465389
0.19  0.306930059703
0.06  0.029917637926
0.28  0.95205030294
0.16  0.115099184477
0.29  0.962708927652
0.13  0.0563838282088
0.24  0.857413396337
0.08  0.0332191499718
0.12  0.0505799114099
0.21  0.604888701115
0.22  0.719573818859
0.09  0.0363892807376
0.3  0.969394232252
0.15  0.087877282859
0.2  0.462237841584
0.27  0.93907793532
0.23  0.799216202266
0.14  0.0683577320039
0.1  0.0387232813708
0.05  0.0295236411245
0.17  0.150235025153
0.26  0.918483835943
0.07  0.0309086964572
