# p     P_infinity
0.25  0.909627547931
0.11  0.588314965786
0.18  0.757668990684
0.19  0.785837946656
0.06  0.566959126984
0.28  0.946517702825
0.16  0.703699199147
0.29  0.955426149791
0.13  0.627074290481
0.24  0.891292206863
0.08  0.553113630259
0.12  0.608803379202
0.21  0.835210144498
0.22  0.855584810664
0.09  0.558436730492
0.3  0.964830616684
0.15  0.676373779767
0.2  0.811133044681
0.27  0.937664943898
0.23  0.877798411986
0.14  0.649984845938
0.1  0.5753351887
0.05  0.571405937951
0.17  0.731923702534
0.26  0.922302991476
0.07  0.549342106782
