# p     P_infinity
0.05  0.143645730542
0.06  0.145183941045
0.07  0.14656326562
0.08  0.152520264194
0.09  0.161534256823
0.1  0.172915568452
0.11  0.188052006779
0.12  0.208269597967
0.13  0.232885016384
0.14  0.26496435422
0.15  0.301301829999
0.16  0.347765512858
0.17  0.404624949237
0.18  0.469974085943
0.19  0.541305100529
0.2  0.612164558326
0.21  0.681401717281
0.22  0.747545417731
0.23  0.804113057577
0.24  0.850245054769
0.25  0.886808051621
0.26  0.91389698688
0.27  0.933690488471
0.28  0.949666756715
0.29  0.960294557461
0.3  0.968904701853
