# p     P_infinity
0.05  0.143337098126
0.06  0.143907292074
0.07  0.145493670012
0.08  0.151828773065
0.09  0.161338626127
0.1  0.1723715732
0.11  0.187784914923
0.12  0.20835475357
0.13  0.233018539114
0.14  0.266761737966
0.15  0.303437011458
0.16  0.347645374327
0.17  0.399143958889
0.18  0.468323538275
0.19  0.546093313196
0.2  0.609001636331
0.21  0.685593749376
0.22  0.747115858632
0.23  0.805159193764
0.24  0.851989596175
0.25  0.888481428969
0.26  0.912903032935
0.27  0.934556434925
0.28  0.949490842273
0.29  0.960961284989
0.3  0.969127856373
