# p     P_infinity
0.25  0.909031916009
0.11  0.586503423994
0.18  0.758490684664
0.19  0.786757728884
0.06  0.560632720058
0.28  0.946852189308
0.16  0.700359894425
0.29  0.955847940966
0.13  0.622915621372
0.24  0.893256699059
0.08  0.550811501832
0.12  0.602708946054
0.21  0.833290845695
0.22  0.855532349669
0.09  0.560032397047
0.3  0.965005315908
0.15  0.675421368468
0.2  0.810603589384
0.27  0.937240150551
0.23  0.877299374356
0.14  0.649627526987
0.1  0.567241554279
0.05  0.579106320346
0.17  0.728548043853
0.26  0.922156935901
0.07  0.554379476634
