# p     P_infinity
0.25  0.889945524538
0.11  0.0828080347154
0.18  0.318895308379
0.19  0.40408323136
0.06  0.057645561336
0.28  0.95208029187
0.16  0.192345187745
0.29  0.962746835066
0.13  0.107927549612
0.24  0.851385224441
0.08  0.0636765555142
0.12  0.0910396070129
0.21  0.614806919843
0.22  0.732266272989
0.09  0.0673417500886
0.3  0.969862655506
0.15  0.154719306467
0.2  0.514197082932
0.27  0.93697198538
0.23  0.793501575394
0.14  0.120558506118
0.1  0.0764813795551
0.05  0.0576756349161
0.17  0.237310146148
0.26  0.915939077151
0.07  0.0600530424905
