# p     P_infinity
0.25  0.892318410448
0.11  0.0831147131867
0.18  0.311107039874
0.19  0.406357566765
0.06  0.058039130872
0.28  0.951801984392
0.16  0.183923211979
0.29  0.962647780705
0.13  0.106846033674
0.24  0.851609212084
0.08  0.063641798902
0.12  0.0926308296445
0.21  0.628884190247
0.22  0.721848923753
0.09  0.0678694217322
0.3  0.968829332362
0.15  0.149741951161
0.2  0.505266976088
0.27  0.936932561432
0.23  0.79703450055
0.14  0.125177114738
0.1  0.0735152805309
0.05  0.0596983126668
0.17  0.239133942202
0.26  0.919415195432
0.07  0.0597826562085
